,article_name,country,revision_id,article_quality,population
389,Semei Kakungulu,Uganda,737799048,Start,40141000
390,Abu Mayanja,Uganda,746946728,C,40141000
391,Daniel Kidega,Uganda,753278613,Start,40141000
392,Eng Abner Nangwale,Uganda,756457100,Stub,40141000
393,Yowabu Magada Kawaluuko,Uganda,757388522,Start,40141000
394,Grace Kwiyucwiny,Uganda,757563021,Start,40141000
395,Mary Goretti Kitutu,Uganda,757615490,Start,40141000
396,Rukiya Chekamondo,Uganda,757616921,Start,40141000
397,Sezi Mbaguta,Uganda,757617202,Start,40141000
398,Frederick Ngobi Gume,Uganda,758395750,Stub,40141000
399,Rosemary Seninde,Uganda,758567928,Start,40141000
400,Gerald Ssendaula,Uganda,759366517,C,40141000
401,Juma Oris,Uganda,759378614,Stub,40141000
402,Godfrey Kiwanda,Uganda,759877869,Stub,40141000
403,Geoffrey Onegi Obel,Uganda,760056661,Start,40141000
404,Tom Butime,Uganda,760181848,Start,40141000
405,Dennis Galabuzi Ssozi,Uganda,760184747,Start,40141000
406,Ken Lukyamuzi,Uganda,763247419,Stub,40141000
407,Victoria Sekitoleko,Uganda,766481345,C,40141000
408,Emmanuel Otala,Uganda,766665157,Start,40141000
409,Kabakumba Masiko,Uganda,770316807,C,40141000
410,Innocent Oula,Uganda,771724283,Start,40141000
411,Isaac Mulindwa,Uganda,773245217,Start,40141000
412,Hope Mwesigye,Uganda,773870932,Start,40141000
413,Katikkiro of Buganda,Uganda,774683767,Stub,40141000
414,Daudi Cwa II of Buganda,Uganda,774683907,Start,40141000
415,Ssuuna II of Buganda,Uganda,774684052,Start,40141000
416,Kamaanya of Buganda,Uganda,774684080,C,40141000
417,Semakookiro of Buganda,Uganda,774684109,Start,40141000
418,Jjunju of Buganda,Uganda,774684124,Start,40141000
419,Kato Kintu,Uganda,774684195,Start,40141000
420,Chwa I of Buganda,Uganda,774684228,Start,40141000
421,Kyabaggu of Buganda,Uganda,774830237,Start,40141000
422,Kiweewa of Buganda,Uganda,774831268,Start,40141000
423,Ismael Orot,Uganda,775522497,Stub,40141000
424,James Obita,Uganda,775995921,Stub,40141000
425,Janat Mukwaya,Uganda,776107670,Start,40141000
426,Besueri Kiwanuka Lusse Mulondo,Uganda,776344991,Start,40141000
427,Jeremiah Twa-Twa,Uganda,776491782,Start,40141000
428,Joyce Kakuramatsi Kikafunda,Uganda,777643576,Stub,40141000
429,Kania Obiga,Uganda,778265355,Stub,40141000
430,Apollo Kironde,Uganda,778598971,Stub,40141000
431,Kibirige Mayanja,Uganda,778840186,Start,40141000
432,Kintu Musoke,Uganda,779007768,Start,40141000
433,Jessica Alupo,Uganda,779397351,Start,40141000
434,Rebecca Amuge Otengo,Uganda,779397437,Start,40141000
435,Syda Bbumba,Uganda,779397532,Start,40141000
436,Alintuma Nsambu,Uganda,781605803,Stub,40141000
437,Esther Mbulakubuza Mbayo,Uganda,781789704,Start,40141000
438,Abdul Nadduli,Uganda,782460126,Stub,40141000
439,Moses Kizige,Uganda,782979760,Start,40141000
440,Maria Kiwanuka,Uganda,783449036,Start,40141000
441,Elijah Mushemeza,Uganda,784734768,Start,40141000
442,Michael Lulume Bayigga,Uganda,784768216,Start,40141000
443,Deo Rwabiita,Uganda,785038536,Stub,40141000
444,Daudi Ochieng,Uganda,785108122,Stub,40141000
445,Joy Kabatsi,Uganda,785339072,Start,40141000
446,Joshua Wanume Kibedi,Uganda,785862055,C,40141000
447,Kizza Besigye,Uganda,786081128,C,40141000
448,Apolo Kagwa,Uganda,786226893,C,40141000
449,Michael Kawalya Kagwa,Uganda,787306486,Stub,40141000
450,Abed Bwanika,Uganda,787410566,Start,40141000
451,Aggrey Awori,Uganda,787858057,C,40141000
452,Aggrey Bagiire,Uganda,787858062,Stub,40141000
453,Agnes Akiror,Uganda,787870163,Start,40141000
